Date,eur_unemployment rate,usa_unemployment rate
1/1/2016,9.7,4.8
2/1/2016,9.6,4.9
3/1/2016,9.5,5
4/1/2016,9.5,5.1
5/1/2016,9.4,4.8
6/1/2016,9.4,4.9
7/1/2016,9.2,4.8
8/1/2016,9.1,4.9
9/1/2016,9.1,5
10/1/2016,9,4.9
11/1/2016,9,4.7
12/1/2016,8.9,4.7
1/1/2017,8.8,4.7
2/1/2017,8.7,4.6
3/1/2017,8.6,4.4
4/1/2017,8.4,4.4
5/1/2017,8.4,4.4
6/1/2017,8.3,4.3
7/1/2017,8.2,4.3
8/1/2017,8.2,4.4
9/1/2017,8.1,4.3
10/1/2017,8,4.2
11/1/2017,7.9,4.2
12/1/2017,7.9,4.1
1/1/2018,7.8,4
2/1/2018,7.7,4.1
3/1/2018,7.7,4
4/1/2018,7.6,4
5/1/2018,7.4,3.8
6/1/2018,7.4,4
7/1/2018,7.3,3.8
8/1/2018,7.2,3.8
9/1/2018,7.2,3.7
10/1/2018,7.3,3.8
11/1/2018,7.2,3.8
12/1/2018,7.1,3.9
1/1/2019,7.1,4
2/1/2019,7.1,3.8
3/1/2019,7,3.8
4/1/2019,6.9,3.6
5/1/2019,6.9,3.6
6/1/2019,6.8,3.6
7/1/2019,6.8,3.7
8/1/2019,6.7,3.7
9/1/2019,6.7,3.5
10/1/2019,6.7,3.6
11/1/2019,6.7,3.6
12/1/2019,6.7,3.6
1/1/2020,6.8,3.5
2/1/2020,6.7,3.5
3/1/2020,6.5,4.4
4/1/2020,6.7,14.7
5/1/2020,7,13.2
6/1/2020,7.4,11
7/1/2020,7.7,10.2
8/1/2020,7.8,8.4
9/1/2020,7.8,7.9
10/1/2020,7.6,6.9
11/1/2020,7.4,6.7
12/1/2020,7.5,6.7
