Date,GBP_GDP
2016-01-01,100.3458437
2016-02-01,100.3288041
2016-03-01,100.313503
2016-04-01,100.3011403
2016-05-01,100.2923731
2016-06-01,100.2887808
2016-07-01,100.2941716
2016-08-01,100.3125416
2016-09-01,100.3455125
2016-10-01,100.388962
2016-11-01,100.435827
2016-12-01,100.4782727
2017-01-01,100.5097484
2017-02-01,100.5254784
2017-03-01,100.5238842
2017-04-01,100.5092787
2017-05-01,100.4879018
2017-06-01,100.4650688
2017-07-01,100.4429959
2017-08-01,100.4217672
2017-09-01,100.400431
2017-10-01,100.3782212
2017-11-01,100.3554107
2017-12-01,100.3344201
2018-01-01,100.3211667
2018-02-01,100.3225387
2018-03-01,100.3435309
2018-04-01,100.3835412
2018-05-01,100.4389081
2018-06-01,100.5042752
2018-07-01,100.5730519
2018-08-01,100.6394777
2018-09-01,100.7006481
2018-10-01,100.7589166
2018-11-01,100.8178357
2018-12-01,100.878513
2019-01-01,100.9361269
2019-02-01,100.9839473
2019-03-01,101.0177878
2019-04-01,101.0413648
2019-05-01,101.060651
2019-06-01,101.0791703
2019-07-01,101.0938124
2019-08-01,101.0988011
2019-09-01,101.0901377
2019-10-01,101.0709238
2019-11-01,101.0457095
2019-12-01,101.0157905
2020-01-01,100.97513
2020-02-01,100.9131138
2020-03-01,92.27259867
2020-04-01,83.31537015
2020-05-01,78.87606708
2020-06-01,83.4727257
2020-07-01,88.05435487
2020-08-01,92.61833363
2020-09-01,93.03335519
2020-10-01,93.44579925
2020-11-01,93.85527005
2020-12-01,93.41944605
