Date,Long Carry,Short Carry
1/1/2016,-0.24%,-0.51%
2/1/2016,-0.33%,-0.51%
3/1/2016,-0.28%,-0.62%
4/1/2016,-0.26%,-0.59%
5/1/2016,-0.22%,-0.60%
6/1/2016,-0.35%,-0.62%
7/1/2016,-0.44%,-0.71%
8/1/2016,-0.41%,-0.70%
9/1/2016,-0.55%,-0.60%
10/1/2016,-0.72%,-0.67%
11/1/2016,-0.73%,-0.56%
12/1/2016,-0.63%,-0.55%
1/1/2017,-0.93%,-0.32%
2/1/2017,-0.83%,-0.41%
3/1/2017,-0.89%,-0.43%
4/1/2017,-1.14%,-0.24%
5/1/2017,-1.27%,-0.24%
6/1/2017,-1.30%,-0.21%
7/1/2017,-1.32%,-0.14%
8/1/2017,-1.46%,0.00%
9/1/2017,-1.47%,-0.01%
10/1/2017,-1.52%,0.06%
11/1/2017,-1.45%,0.03%
12/1/2017,-1.49%,0.09%
1/1/2018,-1.62%,0.18%
2/1/2018,-1.77%,0.29%
3/1/2018,-1.74%,0.24%
4/1/2018,-1.65%,0.22%
5/1/2018,-1.86%,0.40%
6/1/2018,-2.06%,0.44%
7/1/2018,-2.12%,0.50%
8/1/2018,-2.29%,0.57%
9/1/2018,-2.25%,0.48%
10/1/2018,-2.38%,0.59%
11/1/2018,-2.46%,0.58%
12/1/2018,-2.41%,0.61%
1/1/2019,-2.51%,0.65%
2/1/2019,-2.50%,0.65%
3/1/2019,-2.85%,0.72%
4/1/2019,-2.74%,0.69%
5/1/2019,-2.78%,0.70%
6/1/2019,-2.82%,0.68%
7/1/2019,-2.90%,0.70%
8/1/2019,-2.97%,0.70%
9/1/2019,-2.97%,0.70%
10/1/2019,-2.85%,0.62%
11/1/2019,-2.73%,0.59%
12/1/2019,-2.27%,0.26%
1/1/2020,-2.27%,0.26%
2/3/2020,-2.08%,0.14%
3/2/2020,-2.11%,0.14%
4/2/2020,-1.91%,-0.17%
5/4/2020,-1.48%,-0.35%
6/2/2020,-1.47%,-0.46%
7/2/2020,-1.36%,-0.50%
8/2/2020,-1.14%,-0.59%
9/2/2020,-1.12%,-0.58%
10/1/2020,-1.10%,-0.46%
11/1/2020,-1.08%,-0.43%
12/1/2020,-1.08%,-0.43%
